otu	Domain	Phylum	Class	Order	Family	Genus	Species
85c7acc96f122ebcdce2809112d7b297	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius biriensis
46379dd0f58309ce54eec2f809b0d115	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	Mycena leptophylla
14b8c2c1e263a8f2f13294088fa39075	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora atra
c32ff3237901a3beb1b1ccfae8049fdb	Fungi	Basidiomycota	Agaricomycetes	Hysterangiales	Hysterangiaceae	Hysterangium	
f7eabd3d14f702375f408487955123d6	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	
1e399fb1ae66a41708e1c08716222ea2	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe rimosa
4728dd97106701f5be9fec7ceae5a310	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Cudoniella	
b2dd1c40b823af719b9c58ad3f8ca4ca	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
ecc108d98ab48ea6a26cf89fbd81c2f3	Fungi	Ascomycota	Dothideomycetes				
44f06942a1f062814d26264bf6e8658b	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae		
64eae57a7077c2015156e3b894e1e38a	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum pygmaeum
2bae9ec58687bda3700d4a24c04a4258	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha finlandica
77786078f3514d9a9af9aa1bb26ea506	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella fuscocinerea
b4bd3c6f58a9234ea81a132259ad5b2d	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	
0a72ab6809e9d5903a702e61b396242a	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	
