Predictor	%IncMSE	Response	estimate	std.error	statistic	p.value
NO3Flux	4.017879805345898	Agaricomycetes	-4.011130474623652	5.5357570335507	-0.7245857161564884	0.4700921159762602
NH4Flux	3.0674969921004323	Agaricomycetes	208.70884576423245	105.18660255429631	1.9841770786018014	0.049388172332976266
CaFlux_MgFlux_SFlux	2.021289981789483	Agaricomycetes	94.3874932138199	144.29993948960822	0.6541062563689933	0.5142577666274574
KFlux	4.9466809620046694	Agaricomycetes	-1.3853583471425683	1.6445844041777749	-0.8423759483692727	0.4011283293298652
PFlux	6.397640180909583	Agaricomycetes	-40.04511963911779	19.428748128338245	-2.0611271181548267	0.04149804742212455
FeFlux	3.765150982812814	Agaricomycetes	24.496916121191074	169.6783985826439	0.14437262683888166	0.8855307370092094
CuFlux	4.880916708277974	Agaricomycetes	5694.260091859327	3759.390165099728	1.5146765410842296	0.13245317514233002
GrassCover_FeConc	3.1959260673283114	Agaricomycetes	113.20883548832302	204.52269978207795	0.5535269953357195	0.582467531975922
ShrubCover	-0.6978870269554616	Agaricomycetes	-8.439152498173163	20.984061085685653	-0.4021696497981489	0.6899150170059332
ForbCover_PConc	-0.7279478104136652	Agaricomycetes	143.29510753551733	245.16979187942505	0.5844729337861906	0.5664032092871518
pHConc_BaseSatConc	1.1196101872009037	Agaricomycetes	237.52978934482093	178.84377149310208	1.3281412450753554	0.1881562717233576
CECConc_CaConc_TOCConc	0.8686676612259503	Agaricomycetes	233.19979214776842	155.57069953176776	1.4989955875344554	0.13877677607726358
KConc	3.50389789746416	Agaricomycetes	0.15349428891200956	1.1328118279587016	0.1354984871482163	0.8924274314125213
MgConc	1.2602790081592814	Agaricomycetes	2.2478553459552577	2.7128463459448526	0.8285966322107918	0.4100964815011884
NaConc	3.2311229804981463	Agaricomycetes	15.416139925052994	58.42720512483046	0.2638520855501511	0.7924414081541726
NConc	1.8186382819309403	Agaricomycetes	888.763321802894	858.588394798796	1.0351448111655053	0.3030827722063519
NO3Flux	1.3937519338378326	Leotiomycetes	1.7924533878233515	2.5201500093655764	0.7112486880392427	0.4781865576887623
NH4Flux	3.6618970149194534	Leotiomycetes	-106.79057403332024	46.35248829906626	-2.3038800709965654	0.022869198850693495
CaFlux_MgFlux_SFlux	-0.17094942374794544	Leotiomycetes	0.3935500142974313	65.6764052041971	0.0059922587582835795	0.9952279632425889
KFlux	0.5533043036321934	Leotiomycetes	-0.25144742766636297	0.7430933067607244	-0.3383793466832139	0.7356166721636797
PFlux	4.411890888051865	Leotiomycetes	3.7499526940326438	9.002867358302401	0.41652870633203937	0.6777104648380503
FeFlux	2.5586008088188903	Leotiomycetes	-113.68590764881286	78.0590283774827	-1.4564094636054585	0.1478735510671506
CuFlux	4.03470016272195	Leotiomycetes	-2106.7462012096103	1715.2687772352306	-1.2282309508398943	0.22156407352748436
GrassCover_FeConc	-0.07743448463018483	Leotiomycetes	25.642060048123863	99.37440353852682	0.25803485741861687	0.7970257662352149
ShrubCover	-1.5118534260764933	Leotiomycetes	6.673926830692207	10.341379772913648	0.6453613518935541	0.5209437516357096
ForbCover_PConc	15.464460627321149	Leotiomycetes	170.0353162294387	106.348945909222	1.598843456093853	0.1470325403842675
pHConc_BaseSatConc	3.8302444638181794	Leotiomycetes	-90.41029610106246	84.08443710881252	-1.0752322214402616	0.28471696222827325
CECConc_CaConc_TOCConc	4.7336468537469685	Leotiomycetes	-85.37838259782737	71.99089040406886	-1.1859609197582845	0.23879650960676638
KConc	6.375579996334168	Leotiomycetes	-0.9408841095351094	0.5041222238093157	-1.8663809391807311	0.06421459829227948
MgConc	2.6129799508999687	Leotiomycetes	-1.2523414676503581	1.252119008714787	-1.0001776659678694	0.31954547716110165
NaConc	4.355898582484561	Leotiomycetes	27.721653038827935	26.893532628501642	1.0307925485939566	0.30456794142253263
NConc	3.8258789817825414	Leotiomycetes	18.759884208978114	397.66466163145594	0.04717513528110333	0.9624497480832276
NO3Flux	3.996851266702176	Dothideomycetes	-2.828537658240912	3.550901508989002	-0.7965688856986184	0.42716246487191467
NH4Flux	-0.37556989321662376	Dothideomycetes	-2.6649535490424223	67.35792758338391	-0.03956406683895397	0.9685031215619198
CaFlux_MgFlux_SFlux	1.7596913071369407	Dothideomycetes	85.98415936705045	92.46146328846656	0.9299459072888794	0.35411343246233395
KFlux	7.645806849853349	Dothideomycetes	-0.14587422841869946	1.0524811632628874	-0.13860032227699184	0.889977212139912
PFlux	-1.534011724906456	Dothideomycetes	-0.7207943205428171	12.704383896175731	-0.056735873729366	0.9548443562890984
FeFlux	0.42405639841244375	Dothideomycetes	185.8536606003152	107.74803456315047	1.7248914224174317	0.08770580680877961
CuFlux	0.4381193252133783	Dothideomycetes	-3504.265612481588	2421.733507832095	-1.4470071133543354	0.1502884597213693
GrassCover_FeConc	7.02433413732428	Dothideomycetes	162.38252619660082	132.56608428188395	1.2249175728183705	0.22614581352118368
ShrubCover	0.5695970163378818	Dothideomycetes	11.662177883686557	13.674726285541409	0.8528271528196681	0.3989184320474758
ForbCover_PConc	5.039093792758286	Dothideomycetes	-301.25032075293797	154.71585899369538	-1.9471198538555368	0.06631279224892488
pHConc_BaseSatConc	3.8178316631648155	Dothideomycetes	25.86897802787532	118.12803043988619	0.21899102128042086	0.8271327097762136
CECConc_CaConc_TOCConc	4.086303425301646	Dothideomycetes	-231.01903178723924	96.87042342158811	-2.3848252503431855	0.01990189643555408
KConc	6.202575490197853	Dothideomycetes	-1.3960408254807743	0.7123544393872474	-1.9597559140385505	0.052147128725522664
MgConc	2.716833255883016	Dothideomycetes	-1.9895668458331468	1.730129425594009	-1.1499526084009957	0.25335584035754954
NaConc	4.671379515869086	Dothideomycetes	41.94091470055737	37.58419455909162	1.1159189439224488	0.26672024995128907
NConc	2.5529746633890076	Dothideomycetes	-692.6993768697256	554.8048937863256	-1.2485459025826617	0.21433500079221615
NO3Flux	9.16756201397639	Pezizomycetes	3.330646227592073	5.3357484889673215	0.6242134977836418	0.5335666303996431
NH4Flux	1.0722818495253317	Pezizomycetes	-68.6452006944361	98.82860452525513	-0.6945883838407754	0.48859987456926
CaFlux_MgFlux_SFlux	0.7918659071573927	Pezizomycetes	-73.85493532529925	138.80944327368073	-0.5320598770768407	0.5955814664449666
KFlux	3.7962748761108207	Pezizomycetes	1.050008894400503	1.563780560433998	0.6714553953203592	0.5031210644242865
PFlux	3.7055989829046307	Pezizomycetes	17.244847721371787	19.059477028650367	0.9047912330149032	0.3672263418444015
FeFlux	-0.6339187218985008	Pezizomycetes	-54.15572614066153	168.39520779893314	-0.32159897451074987	0.7482710517020887
CuFlux	1.3453079289750902	Pezizomycetes	3871.056786898247	3640.420909783187	1.0633541787696181	0.2895655648756285
GrassCover_FeConc	9.6857927511777	Pezizomycetes	-195.98299190694587	216.0915112795629	-0.9069444271385463	0.36646314021055437
ShrubCover	3.4020598678049416	Pezizomycetes	-15.563722051131005	22.429821447170905	-0.6938852405842078	0.48975372202642065
ForbCover_PConc	4.10932959147858	Pezizomycetes	339.29324316748534	296.51081277582205	1.1442862403267873	0.2581837877606695
pHConc_BaseSatConc	3.9685233673252793	Pezizomycetes	-4.047900295564047	182.6453028506693	-0.02216263014917831	0.9823534351239123
CECConc_CaConc_TOCConc	9.218572670862402	Pezizomycetes	151.46123915836418	155.52381981336998	0.9738780807989352	0.3324276427571503
KConc	6.130503855797027	Pezizomycetes	1.803212962885357	1.0659977869803523	1.6915728952808722	0.0931145398194391
MgConc	6.7062233772676	Pezizomycetes	-0.10613922045967207	2.7137805347351827	-0.03911120265663981	0.9688658937485499
NaConc	4.752335737416674	Pezizomycetes	-18.822486326465224	57.35251972991312	-0.3281893527103057	0.7432891593585214
NConc	8.32437139179145	Pezizomycetes	-924.4144726509638	845.1787059995357	-1.0937503111341658	0.2760747798914025
NO3Flux	-0.8056243936111708	Sordariomycetes	2.3163192495896863	1.739515357497213	1.3315888472076323	0.18532174916131294
NH4Flux	-1.3512947663554316	Sordariomycetes	-19.55166978307101	33.162352879412126	-0.5895742637492134	0.5565264181965279
CaFlux_MgFlux_SFlux	3.576790496220571	Sordariomycetes	-125.35384882194907	44.4383698985391	-2.820847144216918	0.005530268168843603
KFlux	1.3332191919622807	Sordariomycetes	0.200372814288072	0.5168461250767736	0.3876836926238116	0.6988749874771436
PFlux	3.7517346445926556	Sordariomycetes	11.312727653767215	6.167173874969478	1.8343455013781662	0.06892996578651964
FeFlux	3.0618955930923857	Sordariomycetes	-55.95012363622983	53.63426069351026	-1.043178798640545	0.29922693691596747
CuFlux	-0.17958157135685415	Sordariomycetes	-300.01006837901105	1192.4801307949722	-0.25158496198926855	0.8017693645323345
GrassCover_FeConc	2.439616257730671	Sordariomycetes	-53.895281281105966	66.33947559529327	-0.8124164503484528	0.4196569746897081
ShrubCover	1.7656577426219688	Sordariomycetes	10.659856776527993	6.405180882697156	1.6642553850937052	0.10535000925730281
ForbCover_PConc	4.323918996001834	Sordariomycetes	-86.47422760348294	81.04144346482774	-1.067037109735256	0.2975400081722952
