"","otu","Domain","Phylum","Class","Order","Family","Genus","Species","HighElevation_vs_MidElevation_padj","HighElevation_vs_MidElevation_log2FC","HighElevation_vs_Riparian_padj","HighElevation_vs_Riparian_log2FC","MidElevation_vs_Riparian_padj","MidElevation_vs_Riparian_log2FC","August_vs_June_padj","August_vs_June_log2FC","August_vs_October_padj","August_vs_October_log2FC","June_vs_October_padj","June_vs_October_log2FC"
"1","f19aacd76ce862b189e5a501048532c0","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber",NA,0.191696982339367,-3.70680872122693,0.158777561409883,-3.76933759221046,0.989519427299561,-0.0770620851521297,0.564608085783077,-1.48655827573037,0.677776086226351,-2.00636267541757,0.890208763965017,-0.556859018981175
"2","b377d360bdce2a22cb99301ffb1ecee2","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Morosphaeriaceae","Aquilomyces","Aquilomyces patris",0.824101401898536,0.938198096964328,0.084756202182657,6.44973496671925,0.284552618366421,5.49700365558645,0.920423920831727,0.512959963027947,0.94695282723011,-0.556814453075781,0.685282996471409,-1.10682903539791
"3","3782b1eec983583ae70b73271e412731","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber beyerlei",0.744423197807379,-1.27233684194763,0.515441050667245,-1.91123723437807,0.915332856643148,-0.653433606599806,0.937756886188698,-0.493992540941644,0.988434928206576,-0.159525100757264,0.955097189218014,0.297412820882949
"4","baebf8c8711f4dbb26580a8e22eb9a5c","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,0.809579635113212,0.997534755695985,0.812140431039675,-0.811893703678787,0.72535540707959,-1.82396167354274,0.564608085783077,1.49142139682773,0.900797347388094,1.24190655589653,0.95354858378895,-0.286569460224657
"5","7c3aef4593937c6261e78aa899046f62","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum","Cenococcum geophilum",0.357333776000249,2.01701941043656,0.446206085770791,-1.48954546897272,0.2706287356398,-3.52109809354284,0.705107410003981,0.955845341719638,0.900797347388094,0.783405232276065,0.955097189218014,-0.20949472612334
"6","3b6db377eef259ab689e39034aa8e7f6","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","Hyaloscypha finlandica",0.809579635113212,-0.332859954375501,0.75240005472777,0.344271281715768,0.689495529792342,0.662598021922862,0.0540274601796562,0.680308699724804,0.900797347388094,0.316753913476291,0.564206801039262,-0.400609405542513
"7","c5f0c3fa23ad7ecd4e399f89e3bd8901","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma",NA,0.275423836703495,-3.70880769002531,0.411187224818322,-2.55002864208031,0.796955110861735,1.14424583377603,0.866299739416319,-0.781875550699692,0.96973729966029,-0.346968187449223,0.913201596352144,0.397852743953057
"8","eaaa67de4db30c022d8dc22a4dd160f4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe lanatodisca",0.678258535150768,-1.64793550377391,0.239472964372693,3.99571056860567,0.270826196321426,5.62911285821095,0.937756886188698,-0.483162250197221,0.920933545334947,-0.835406102050838,0.931264026365296,-0.389298471146826
"9","029ecf55ab2ad0aa410842867ed52db9","Fungi","Ascomycota",NA,NA,NA,NA,NA,0.732689218945655,1.78902966533804,0.873355063582982,-0.791210568160858,0.684829735250649,-2.59477344766729,0.967663034819088,0.152302080992797,0.900797347388094,-0.672314714569639,0.664765923839748,-0.861671414856629
"10","2356db269765df4509d35b45b21860f6","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula fulvograminea",0.809579635113212,0.539275982393052,0.977628677949329,0.0503494487407741,0.852345804944644,-0.503459747820568,0.895964535504078,0.574279180679263,0.94695282723011,-0.616642509880855,0.613913496919733,-1.22797630985431
"11","f014cf675662954222a5ed5d5a4023a9","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina epigaea",0.996747522959103,-0.0109820514450415,0.374828999229513,2.25923715883215,0.570201662132333,2.25568599610926,0.408048505998956,0.923228608557838,0.569224054278405,1.31618982393526,0.831507922186679,0.355906596082902
"12","e2bca00a92f5ed8493b7811f0dfea657","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Sarimanas","Sarimanas shirakamiense",0.77071178302697,-0.929561862516348,0.378634775526238,-2.15766321806889,0.73914103610174,-1.24263456972084,0.986622977506508,-0.0501675523975828,0.952881433737648,-0.207846972655388,0.919524550360828,-0.194734039551989
"13","2372fcd063bd7ea8efdcb179841c1838","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","Hyaloscypha finlandica",0.996747522959103,0.0107595520346094,0.604282365413701,-1.40591061162453,0.754731245896089,-1.43120337782731,0.755888352289275,0.540851341526141,0.969965066944188,-0.165723513466193,0.569195127901954,-0.743629474286525
"14","af5cdc794599c44831c6127d751e0222","Fungi","Ascomycota","Sordariomycetes","Magnaporthales",NA,NA,NA,0.379158917884387,2.67584762521197,0.796784194902573,0.727280806099438,0.64286742247421,-1.96310003328086,0.755888352289275,-0.530161252676085,0.900797347388094,-0.562188144553817,0.992659635425768,-0.0690815111719353
